Data,Quicksort,Heapsort,Mergesort,sorted (python),sort (numpy)
1,3135.4,7089.62,2824.06,32.99,23.4
2,3068.26,6904.76,2854.93,138.67,22.95
3,5712.54,10950.96,5708.89,819.51,18.12
4,6424.02,11979.43,6309.9,859.82,20.04
5,5857.03,9587.68,5107.81,730.03,26.73
6,4888.03,8922.87,5104.57,754.91,20.87
7,5054.6,8951.54,5057.54,718.89,21.83
8,4990.06,11580.8,6252.31,849.71,21.17
9,6632.05,10355.79,6016.03,795.39,19.12
10,6427.8,11215.68,5539.54,800.68,16.99
Average,5218.979000000001,9753.913,5077.558,650.0600000000001,21.122
